 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1401/1/20,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,31841,1297745569,5022378268337,3742,3730,3810,68,1.82,3870,128,3.42,3635,3929
خودرو,ايران‌ خودرو,29187,1161664780,2857940653061,2556,2451,2455,-101,-3.95,2460,-96,-3.76,2429,2526
خساپا,سايپا,20169,967967730,2211757092323,2323,2247,2251,-72,-3.1,2285,-38,-1.64,2210,2350
پالايش,صندوق پالايشي يكم-سهام,17019,24458300,1810601988930,74830,73200,74430,-400,-0.53,74030,-800,-1.07,72810,74980
شپنا,پالايش نفت اصفهان,15011,226032995,1702582751460,7630,7400,7480,-150,-1.97,7530,-100,-1.31,7300,7780
شتران,پالايش نفت تهران,12624,189714544,1025292025730,5540,5360,5450,-90,-1.62,5400,-140,-2.53,5270,5600
شبندر,پالايش نفت بندرعباس,10327,129832161,1053884553790,8010,7730,8230,220,2.75,8120,110,1.37,7690,8360
دارا يكم,صندوق واسطه گري مالي يكم-سهام,9373,7260941,853080487330,119600,117210,117520,-2080,-1.74,117490,-2110,-1.76,116660,118280
كالا,بورس كالاي ايران,9283,32822508,866370200080,26350,25880,27000,650,2.47,26400,50,0.19,25040,27650
خپارس,پارس‌ خودرو,8979,413699030,490241583375,1182,1129,1201,19,1.61,1185,3,0.25,1125,1230
وتجارت,بانك تجارت,8283,288594497,618218791960,2229,2131,2138,-91,-4.08,2142,-87,-3.9,2118,2181
فرابورس,فرابورس ايران,8124,52346376,745246618640,14350,13990,14400,50,0.35,14240,-110,-0.77,13640,14890
وبملت,بانك ملت,8047,220993925,841430017335,3927,3755,3800,-127,-3.23,3807,-120,-3.06,3740,3902
بهير,س. توسعه تجارت هيرمند,7641,9597898,53432026560,5412,5570,5570,158,2.92,5570,158,2.92,5290,5570
كمند,صندوق س. با درآمد ثابت كمند,7385,280533930,2813355245567,10013,10028,10029,16,0.16,10029,16,0.16,10028,10030
فملي,ملي‌ صنايع‌ مس‌ ايران‌,7381,83617369,632661079290,7640,7520,7680,40,0.52,7570,-70,-0.92,7370,7690
فولاد,فولاد مباركه اصفهان,6963,49277413,590238726840,12060,11850,12000,-60,-0.5,11980,-80,-0.66,11670,12100
وهامونح,ح . سرمايه گذاري هامون صبا,6806,78029832,46010174361,597,583,595,-2,-0.34,590,-7,-1.17,578,605
وبصادر,بانك صادرات ايران,6583,233798390,514048202257,2274,2190,2185,-89,-3.91,2199,-75,-3.3,2161,2249
انرژي,بورس انرژي ايران,6511,7527932,443728694060,60710,59990,58870,-1840,-3.03,58940,-1770,-2.92,57680,61250
آريا,پليمر آريا ساسول,5771,3850228,346392531150,89200,88050,90250,1050,1.18,89950,750,0.84,86200,92400
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5144,132447206,320954523572,2406,2440,2385,-21,-0.87,2423,17,0.71,2375,2460
بورس,بورس اوراق بهادار تهران,5012,39459439,378307557240,9760,9350,9500,-260,-2.66,9590,-170,-1.74,9280,9930
بركت,گروه دارويي بركت,4833,15795216,300657206070,18280,18600,19190,910,4.98,19030,750,4.1,18600,19190
خاور,ايران خودرو ديزل,4773,302243237,446256699078,1439,1450,1482,43,2.99,1476,37,2.57,1414,1482
خاورح,ح . ايران خودرو ديزل,4606,411794451,121260429080,287,294,295,8,2.79,294,7,2.44,283,295
خبهمن,گروه‌بهمن‌,4437,220370640,409048008886,1800,1770,1890,90,5,1856,56,3.11,1742,1890
آرام,صندوق س شاخصي آرام مفيد,4320,17964217,187566055310,10560,10430,10520,-40,-0.38,10440,-120,-1.14,10320,10570
تجلي,تجلي توسعه معادن و فلزات,4226,136834737,225551630800,1663,1640,1638,-25,-1.5,1648,-15,-0.9,1619,1700
ولساپا,ليزينگ رايان‌ سايپا,4160,206084264,350551068540,1785,1696,1696,-89,-4.99,1701,-84,-4.71,1696,1736
كرمان,س. توسعه و عمران استان كرمان,4066,167219268,138891261067,843,827,828,-15,-1.78,831,-12,-1.42,820,845
فزر,پويا زركان آق دره,4053,5505942,157569824600,28500,27600,28450,-50,-0.18,28600,100,0.35,27600,29300
حكشتي,كشتيراني جمهوري اسلامي ايران,4044,31433793,514146036460,15910,16190,16580,670,4.21,16360,450,2.83,15600,16700
سمگا,گروه سرمايه گذاري ميراث فرهنگي,4028,43764803,442306915800,10000,10150,10020,20,0.2,10110,110,1.1,9880,10400
هاي وب,داده گسترعصرنوين-هاي وب,3936,31335375,248074610890,7810,7830,7900,90,1.15,7920,110,1.41,7630,8050
سپيد,سپيد ماكيان,3782,12674823,241843953380,18390,18260,19300,910,4.95,19080,690,3.75,18210,19300
وخارزم,سرمايه گذاري خوارزمي,3779,49570723,231246068283,4721,4560,4643,-78,-1.65,4665,-56,-1.19,4520,4735
