 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/21,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
پالايش,صندوق پالايشي يكم-سهام,22369,26277701,1845776056470,72650,71400,69930,-2720,-3.74,70240,-2410,-3.32,69750,71400
شستا,سرمايه گذاري تامين اجتماعي,21879,928213936,827815733263,922,905,887,-35,-3.8,892,-30,-3.25,885,909
آرام,صندوق س شاخصي آرام مفيد,19497,85521508,855215080000,10000,10000,10000,0,0,10000,0,0,10000,10000
خودرو,ايران‌ خودرو,18807,1005308423,2097864117168,2194,2085,2087,-107,-4.88,2087,-107,-4.88,2085,2120
شتران,پالايش نفت تهران,15528,371517315,1875361051680,5289,5080,5060,-229,-4.33,5050,-239,-4.52,5030,5150
دارا يكم,صندوق واسطه گري مالي يكم-سهام,14215,11820077,1290744057090,113120,110000,109060,-4060,-3.59,109200,-3920,-3.47,107910,110000
شپنا,پالايش نفت اصفهان,11264,234949278,1520485919710,6790,6580,6460,-330,-4.86,6470,-320,-4.71,6460,6670
شبندر,پالايش نفت بندرعباس,11158,205587811,1516836575530,7750,7450,7370,-380,-4.9,7380,-370,-4.77,7370,7500
فزر,پويا زركان آق دره,9032,14113191,391333321050,28650,28050,27350,-1300,-4.54,27750,-900,-3.14,27250,28350
وبملت,بانك ملت,8878,559478400,1907809032211,3588,3409,3414,-174,-4.85,3410,-178,-4.96,3409,3450
خساپا,سايپا,8372,446721723,716429980060,1687,1603,1603,-84,-4.98,1604,-83,-4.92,1603,1624
وتجارت,بانك تجارت,6940,331983291,601804415616,1907,1812,1812,-95,-4.98,1813,-94,-4.93,1812,1847
كمند,صندوق س. با درآمد ثابت كمند,6931,269054942,2699818728387,10018,10034,10035,17,0.17,10034,16,0.16,10034,10035
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6164,288330963,650756450453,2369,2300,2251,-118,-4.98,2257,-112,-4.73,2251,2300
تجلي,تجلي توسعه معادن و فلزات,5948,163944189,275536055217,1703,1671,1659,-44,-2.58,1681,-22,-1.29,1650,1720
فملي,ملي‌ صنايع‌ مس‌ ايران‌,5847,54621153,380557976150,7170,7040,6920,-250,-3.49,6970,-200,-2.79,6920,7050
فولاد,فولاد مباركه اصفهان,5778,56776747,594572532040,10590,10540,10440,-150,-1.42,10470,-120,-1.13,10360,10610
