 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1401/1/7,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
خودرو,ايران‌ خودرو,29452,1189151897,2980537879601,2474,2419,2512,38,1.54,2506,32,1.29,2390,2580
پالايش,صندوق پالايشي يكم-سهام,23829,39452143,2875571806180,72910,72600,73040,130,0.18,72890,-20,-0.03,71820,73650
خساپا,سايپا,18616,1346524115,2673788643069,1913,1891,2008,95,4.97,1986,73,3.82,1890,2008
دارا يكم,صندوق واسطه گري مالي يكم-سهام,16392,15433469,1813057930450,117070,115870,117150,80,0.07,117480,410,0.35,115010,119140
شستا,سرمايه گذاري تامين اجتماعي,16321,749489366,711183203093,945,947,947,2,0.21,949,4,0.42,934,963
شتران,پالايش نفت تهران,14883,253414953,1418900193040,5420,5500,5690,270,4.98,5600,180,3.32,5420,5690
فولاد,فولاد مباركه اصفهان,10221,85471309,997204363580,11440,11570,11720,280,2.45,11670,230,2.01,11460,11850
شپنا,پالايش نفت اصفهان,9859,126173695,896389417030,7030,7100,7130,100,1.42,7100,70,1,6920,7270
شبندر,پالايش نفت بندرعباس,9579,93309020,742979226500,7910,7950,7990,80,1.01,7960,50,0.63,7800,8130
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8545,441739335,1257408822393,2745,2745,2882,137,4.99,2846,101,3.68,2702,2882
خپارس,پارس‌ خودرو,8305,409258639,472301885415,1135,1120,1160,25,2.2,1154,19,1.67,1101,1180
فملي,ملي‌ صنايع‌ مس‌ ايران‌,8199,62472258,474050570580,7540,7700,7540,0,0,7590,50,0.66,7500,7700
وبملت,بانك ملت,7780,174500560,668700540422,3804,3756,3819,15,0.39,3832,28,0.74,3729,3900
بهير,س. توسعه تجارت هيرمند,6674,8394851,38020242031,4315,4530,4530,215,4.98,4529,214,4.96,4451,4530
وتجارت,بانك تجارت,6506,237380302,468024381452,1930,1916,1968,38,1.97,1972,42,2.18,1914,2009
تجلي,تجلي توسعه معادن و فلزات,6096,206304591,316036765973,1545,1559,1543,-2,-0.13,1532,-13,-0.84,1519,1565
فزر,پويا زركان آق دره,6019,6391541,170427962850,27250,27050,26600,-650,-2.39,26650,-600,-2.2,26450,27350
وامير,گروه صنعتي و معدني امير,5260,259431,74119196150,296450,281650,281650,-14800,-4.99,285700,-10750,-3.63,281650,296000
كمند,صندوق س. با درآمد ثابت كمند,4911,176818629,1789142671828,10112,10118,10119,7,0.07,10119,7,0.07,10118,10119
نوري,پتروشيمي نوري,4848,2969425,306493754030,101550,103500,104340,2790,2.75,103220,1670,1.64,101560,104500
آرام,صندوق س شاخصي آرام مفيد,4677,24739441,254856030890,10210,10230,10330,120,1.18,10300,90,0.88,10230,10350
خبهمن,گروه‌بهمن‌,4400,199421938,380378334090,1895,1850,1905,10,0.53,1907,12,0.63,1830,1950
وبصادر,بانك صادرات ايران,4189,149782382,297627022077,1950,1930,1975,25,1.28,1987,37,1.9,1912,2030
فرابورس,فرابورس ايران,4163,21774221,254777510510,11680,11500,11630,-50,-0.43,11700,20,0.17,11350,11980
حكشتي,كشتيراني جمهوري اسلامي ايران,3998,38278012,591943852220,14830,14790,15570,740,4.99,15460,630,4.25,14520,15570
كرمان,س. توسعه و عمران استان كرمان,3919,160346305,121917264710,751,750,762,11,1.46,760,9,1.2,742,769
انرژي,بورس انرژي ايران,3685,3329067,179678771080,54430,54200,53760,-670,-1.23,53970,-460,-0.85,52900,55190
وخارزم,سرمايه گذاري خوارزمي,3573,46224217,200821043429,4316,4300,4370,54,1.25,4344,28,0.65,4240,4419
فسبزوار,پارس فولاد سبزوار,3545,3522416,102268526570,29340,29340,29070,-270,-0.92,29030,-310,-1.06,28910,29360
غدشت,دشت‌ مرغاب‌,3379,16240356,198234728510,16260,12450,12000,-4260,-26.2,12210,-4050,-24.91,11830,12730
كيان,صندوق س. با درآمد ثابت كيان,3281,31936601,1082022527190,33860,33880,33880,20,0.06,33880,20,0.06,33878,33885
ضخود2019,اختيارخ خودرو-2500-1401/02/07,3244,132964,17669323000,128,101,132,4,3.13,133,5,3.91,101,154
توسن,توسعه سامانه ي نرم افزاري نگين,3197,3770479,84246426100,23250,23100,22150,-1100,-4.73,22350,-900,-3.87,22100,23100
ضخود2020,اختيارخ خودرو-3000-1401/02/07,3107,171059,3668000000,25,15,22,-3,-12,21,-4,-16,14,28
آريا,پليمر آريا ساسول,3036,1744636,138928686700,78100,78300,80550,2450,3.14,79650,1550,1.98,78300,81000
كدما,معدني‌ دماوند,2997,2479795,152669110090,61360,61350,61300,-60,-0.1,61570,210,0.34,59500,62780
ذوب,ذوب آهن اصفهان,2996,58772141,155090219177,2614,2650,2619,5,0.19,2639,25,0.96,2600,2682
بركت,گروه دارويي بركت,2943,9796858,171443629330,17250,17050,17800,550,3.19,17500,250,1.45,17000,17900
خنصير,مهندسي‌نصيرماشين‌,2913,11222159,170925154880,15680,15050,15180,-500,-3.19,15230,-450,-2.87,14900,15960
كالا,بورس كالاي ايران,2904,8021831,166914498790,20510,20550,20810,300,1.46,20810,300,1.46,20000,21310
فخوز,فولاد  خوزستان,2881,50008362,294377599090,5630,5800,5910,280,4.97,5890,260,4.62,5680,5910
