 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/18,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
آرام,صندوق س شاخصي آرام مفيد,39485,92048682,920486820000,10000,10000,10000,0,0,10000,0,0,10000,10000
پالايش,صندوق پالايشي يكم-سهام,34750,57928817,4208366497560,71730,72000,72630,900,1.25,72650,920,1.28,71820,73480
شستا,سرمايه گذاري تامين اجتماعي,22260,988923189,911352469253,918,911,920,2,0.22,922,4,0.44,910,935
شتران,پالايش نفت تهران,19268,481515899,2546892784300,5065,5179,5318,253,5,5289,224,4.42,5130,5318
شپنا,پالايش نفت اصفهان,16191,270421141,1835090409090,6520,6580,6830,310,4.75,6790,270,4.14,6570,6840
دارا يكم,صندوق واسطه گري مالي يكم-سهام,15657,13250504,1498959560710,111580,112180,113920,2340,2.1,113120,1540,1.38,111860,114100
خودرو,ايران‌ خودرو,15228,684192797,1500943193793,2112,2133,2217,105,4.97,2194,82,3.88,2130,2217
شبندر,پالايش نفت بندرعباس,13563,173141453,1342480460350,7520,7550,7760,240,3.19,7750,230,3.06,7550,7890
فزر,پويا زركان آق دره,12461,15315925,439122223950,27500,28500,28350,850,3.09,28650,1150,4.18,28250,28850
تجلي,تجلي توسعه معادن و فلزات,8799,246959567,420623311706,1680,1710,1702,22,1.31,1703,23,1.37,1650,1745
خساپا,سايپا,8595,363777989,613548325052,1631,1640,1707,76,4.66,1687,56,3.43,1636,1712
خاورح,ح . ايران خودرو ديزل,8404,741213200,131579749130,182,177,180,-2,-1.1,178,-4,-2.2,177,182
فملي,ملي‌ صنايع‌ مس‌ ايران‌,7079,75320369,540386083460,7170,7170,7130,-40,-0.56,7170,0,0,7090,7280
كمند,صندوق س. با درآمد ثابت كمند,6997,263572739,2640381489348,10013,10017,10018,5,0.05,10018,5,0.05,10017,10019
فسبزوار,پارس فولاد سبزوار,6218,5344474,161553725140,30890,30220,29850,-1040,-3.37,30230,-660,-2.14,29600,31190
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,6003,218647477,478239873239,2096,2111,2200,104,4.96,2187,91,4.34,2111,2200
فولاد,فولاد مباركه اصفهان,5895,62395650,661008588490,10530,10470,10550,20,0.19,10590,60,0.57,10470,10790
وبملت,بانك ملت,5783,143187949,513786878573,3481,3490,3638,157,4.51,3588,107,3.07,3490,3650
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5531,186113851,440877637456,2285,2290,2399,114,4.99,2369,84,3.68,2290,2399
خاور,ايران خودرو ديزل,5494,232288429,275915852674,1213,1182,1201,-12,-0.99,1188,-25,-2.06,1177,1222
وتجارت,بانك تجارت,4856,169152157,322503789953,1876,1857,1925,49,2.61,1907,31,1.65,1857,1948
تپكو,توليدتجهيزات‌سنگين‌هپكو,4517,147100581,191248748308,1337,1297,1309,-28,-2.09,1300,-37,-2.77,1297,1329
كرمان,س. توسعه و عمران استان كرمان,3804,162736269,121532228383,748,741,747,-1,-0.13,747,-1,-0.13,739,756
بركت,گروه دارويي بركت,3786,14302549,244765330590,16330,16890,17140,810,4.96,17110,780,4.78,16730,17140
كاما,باما,3690,35190708,225544120440,6240,6400,6300,60,0.96,6410,170,2.72,6260,6530
نوري,پتروشيمي نوري,3536,2622178,246902720150,94190,93500,93550,-640,-0.68,94160,-30,-0.03,93400,95150
سمگا,گروه سرمايه گذاري ميراث فرهنگي,3498,32760857,294832460640,9150,9160,8950,-200,-2.19,9000,-150,-1.64,8880,9290
خپارس,پارس‌ خودرو,3333,161837204,170183340756,1028,1030,1060,32,3.11,1052,24,2.33,1026,1070
تسه0011,امتيازتسهيلات مسكن بهمن 1400,3318,76266,92621129333,1207846,1170500,1210000,2154,0.18,1214448,6602,0.55,1147456,1268238
آريا,پليمر آريا ساسول,3278,2876530,220627668500,75100,74950,76650,1550,2.06,76700,1600,2.13,74500,77800
ذوب,ذوب آهن اصفهان,3254,75715235,188507955999,2519,2499,2460,-59,-2.34,2490,-29,-1.15,2450,2550
فرابورس,فرابورس ايران,3241,15760400,177143508830,11200,11310,11190,-10,-0.09,11240,40,0.36,11070,11420
وبصادر,بانك صادرات ايران,3184,88333638,172732838044,1932,1919,1979,47,2.43,1955,23,1.19,1913,1992
فارس,صنايع پتروشيمي خليج فارس,3025,30263388,342778595960,11310,11200,11350,40,0.35,11330,20,0.18,11160,11600
توسن,توسعه سامانه ي نرم افزاري نگين,3013,1827518,46532415950,25550,25200,25650,100,0.39,25450,-100,-0.39,25200,26200
كيمياتك,آريان كيميا تك,2927,1009825,24391473670,24820,24570,23900,-920,-3.71,24150,-670,-2.7,23580,25000
وهامونح,ح . سرمايه گذاري هامون صبا,2898,31829300,17220291898,561,557,549,-12,-2.14,541,-20,-3.57,533,562
خبهمن,گروه‌بهمن‌,2894,111900263,200030458510,1757,1757,1803,46,2.62,1788,31,1.76,1743,1829
قشير,قند شيروان قوچان و بجنورد,2844,32662762,179896700960,5560,5290,5700,140,2.52,5510,-50,-0.9,5290,5780
فجهان,مجتمع جهان فولاد سيرجان,2842,7636067,39764993630,5240,5200,5220,-20,-0.38,5220,-20,-0.38,5180,5250
كيان,صندوق س. با درآمد ثابت كيان,2759,26751150,898183235166,33547,33575,33579,32,0.1,33575,28,0.08,33574,33580
وپوياح,ح. سرمايه گذاري پويا,2698,18409619,15968186294,837,834,876,39,4.66,867,30,3.58,834,878
وسديد,گروه ‌صنعتي‌سديد,2697,52173383,40076469365,786,783,772,-14,-1.78,768,-18,-2.29,763,785
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2652,49228360,2097500915510,42568,42608,42607,39,0.09,42608,40,0.09,42607,42609
ضخود2019,اختيارخ خودرو-2500-1401/02/07,2650,114546,11883351000,93,94,107,14,15.05,104,11,11.83,93,111
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2635,22822924,335266267870,14620,14530,14630,10,0.07,14690,70,0.48,14530,14910
انرژي,بورس انرژي ايران,2617,2207317,121491945350,54710,55260,55070,360,0.66,55040,330,0.6,54210,55650
امين يكم,صندوق درآمد ثابت امين يكم فردا,2594,83589170,840983609669,10058,10063,10064,6,0.06,10061,3,0.03,10055,10070
فاسمين,كالسيمين‌,2564,15066543,308308977410,20440,20110,20600,160,0.78,20460,20,0.1,20030,20810
سدبير,س. تدبيرگران فارس وخوزستان,2521,10789496,354659116200,32550,30950,34150,1600,4.92,32850,300,0.92,30950,34150
پارند,صندوق س. پارند پايدار سپهر,2474,88953601,891029737098,10011,10017,10017,6,0.06,10017,6,0.06,10016,10017
بكاب,صنايع‌جوشكاب‌يزد,2470,1779556,108687313170,59380,62330,59800,420,0.71,61080,1700,2.86,59600,62340
زاگرس,پتروشيمي زاگرس,2451,1684780,309660586100,175200,183950,183950,8750,4.99,183800,8600,4.91,180000,183950
لكما,كارخانجات‌مخابراتي‌ايران‌,2406,101754537,86200121269,866,851,858,-8,-0.92,847,-19,-2.19,841,870
ضخود2018,اختيارخ خودرو-2000-1401/02/07,2393,96973,32068326000,308,300,344,36,11.69,331,23,7.47,300,351
وخارزم,سرمايه گذاري خوارزمي,2364,29204691,119489036405,4075,4075,4109,34,0.83,4091,16,0.39,4040,4133
كچاد,معدني‌وصنعتي‌چادرملو,2330,11216814,180110694490,15530,15640,16300,770,4.96,16060,530,3.41,15470,16300
كالا,بورس كالاي ايران,2327,8096653,158424171140,19550,19110,19520,-30,-0.15,19570,20,0.1,19110,19980
صبا,گروه مالي صبا تامين,2308,18889084,104987732130,5600,5660,5550,-50,-0.89,5560,-40,-0.71,5490,5660
شبريز,پالايش نفت تبريز,2273,5901843,230505760710,38530,38300,38650,120,0.31,39060,530,1.38,38300,39900
مديريت,س. و خدمات مديريت صند. ب كشوري,2268,3868467,21279087860,5530,5540,5470,-60,-1.08,5500,-30,-0.54,5450,5590
كزغالح,ح.زغال سنگ پروده طبس,2253,1508376,17595579510,11570,11420,11650,80,0.69,11670,100,0.86,11420,11800
خديزل,بهمن  ديزل,2216,24640071,205278115550,8180,8100,8210,30,0.37,8330,150,1.83,8020,8580
خبنيان,بنيان ديزل,2204,121926852,281967315300,2246,2313,2313,67,2.98,2313,67,2.98,2265,2313
فتوسا,توليد و توسعه سرب روي ايرانيان,2201,7688624,86010142280,10660,11190,11170,510,4.78,11190,530,4.97,10880,11190
