 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1401/1/15,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
خودرو,ايران‌ خودرو,41546,1764309575,4613646992494,2588,2620,2532,-56,-2.16,2615,27,1.04,2495,2717
شستا,سرمايه گذاري تامين اجتماعي,36212,1815665441,1870269795341,1047,1053,1017,-30,-2.87,1030,-17,-1.62,1006,1066
پالايش,صندوق پالايشي يكم-سهام,34582,63855179,4799752442760,73690,74110,74810,1120,1.52,75170,1480,2.01,73890,76400
خساپا,سايپا,30352,1782939892,4060740178338,2206,2270,2238,32,1.45,2278,72,3.26,2208,2316
دارا يكم,صندوق واسطه گري مالي يكم-سهام,25183,28753616,3484707842920,119500,119300,119370,-130,-0.11,121190,1690,1.41,119100,123800
شپنا,پالايش نفت اصفهان,22086,571648056,4218097398500,7050,7160,7400,350,4.96,7380,330,4.68,7130,7400
شتران,پالايش نفت تهران,20521,384172649,2187457730480,5500,5590,5650,150,2.73,5690,190,3.45,5540,5770
فولاد,فولاد مباركه اصفهان,18851,229946162,2841988819840,12160,12670,12150,-10,-0.08,12360,200,1.64,12020,12670
شبندر,پالايش نفت بندرعباس,17131,268481963,2186781234950,7830,7840,8150,320,4.09,8140,310,3.96,7830,8220
وبصادر,بانك صادرات ايران,15660,886007386,1940152054507,2096,2120,2180,84,4.01,2190,94,4.48,2102,2200
فملي,ملي‌ صنايع‌ مس‌ ايران‌,15197,171540774,1329771857250,7830,7900,7830,0,0,7750,-80,-1.02,7600,7900
خاورح,ح . ايران خودرو ديزل,15128,1388921669,382294847676,283,275,275,-8,-2.83,275,-8,-2.83,275,283
خپارس,پارس‌ خودرو,14108,698993834,847808917013,1244,1254,1194,-50,-4.02,1213,-31,-2.49,1182,1281
وبملت,بانك ملت,13981,432509739,1763210608140,4010,4003,4010,0,0,4077,67,1.67,3963,4207
وتجارت,بانك تجارت,12846,619088196,1394889974536,2173,2175,2216,43,1.98,2253,80,3.68,2173,2281
خاور,ايران خودرو ديزل,11418,474656503,668175245517,1432,1392,1390,-42,-2.93,1408,-24,-1.68,1390,1457
فرابورس,فرابورس ايران,11415,84847538,1155597414280,13240,13900,13350,110,0.83,13620,380,2.87,13130,13900
كالا,بورس كالاي ايران,10384,69905169,1764375874870,24090,25290,25170,1080,4.48,25240,1150,4.77,24820,25290
آريا,پليمر آريا ساسول,9644,5870762,528500038600,90500,93000,88500,-2000,-2.21,90000,-500,-0.55,87500,93200
نوري,پتروشيمي نوري,8702,6405920,723823449760,116210,117150,111990,-4220,-3.63,112990,-3220,-2.77,110640,117190
انرژي,بورس انرژي ايران,8040,8723439,532402214310,61500,63450,59620,-1880,-3.06,61030,-470,-0.76,58990,63450
كمند,صندوق س. با درآمد ثابت كمند,7953,323322313,3286009895003,10157,10163,10164,7,0.07,10163,6,0.06,10163,10164
خبهمن,گروه‌بهمن‌,7811,308937729,576794863430,1909,1908,1850,-59,-3.09,1867,-42,-2.2,1817,1955
فزر,پويا زركان آق دره,7781,10255749,307972297700,29800,30400,29050,-750,-2.52,30050,250,0.84,28750,31250
وخارزم,سرمايه گذاري خوارزمي,7119,111420147,531228770904,4653,4711,4679,26,0.56,4768,115,2.47,4640,4885
كرمان,س. توسعه و عمران استان كرمان,6826,282947759,233064697637,842,859,815,-27,-3.21,824,-18,-2.14,808,859
بورس,بورس اوراق بهادار تهران,6506,55604951,542449338820,9600,9980,9490,-110,-1.15,9760,160,1.67,9340,10080
ذوب,ذوب آهن اصفهان,6317,166995735,480999754876,2859,3001,2797,-62,-2.17,2880,21,0.73,2781,3001
