 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/2,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
دارا يكم,صندوق واسطه گري مالي يكم-سهام,23759,24804927,2872784364030,112540,113900,116960,4420,3.93,115820,3280,2.91,113600,116990
پالايش,صندوق پالايشي يكم-سهام,22744,25597372,1763832439110,67970,68550,69130,1160,1.71,68910,940,1.38,68330,69400
فزر,پويا زركان آق دره,18680,8895833,235267507850,25250,26350,26500,1250,4.95,26450,1200,4.75,25800,26500
خودرو,ايران‌ خودرو,12754,820746120,1778230153141,2067,2118,2170,103,4.98,2167,100,4.84,2118,2170
وبملت,بانك ملت,12048,478313687,1679581870976,3356,3405,3523,167,4.98,3511,155,4.62,3405,3523
خساپا,سايپا,11193,638572079,1100153933242,1646,1680,1728,82,4.98,1723,77,4.68,1660,1728
تجلي,تجلي توسعه معادن و فلزات,10588,340153086,506931034003,1490,1520,1464,-26,-1.74,1490,0,0,1447,1540
وتجارت,بانك تجارت,8355,366120606,736517338658,1928,2020,2024,96,4.98,2012,84,4.36,1977,2024
وهامونح,ح . سرمايه گذاري هامون صبا,7210,119481823,77783697051,679,646,650,-29,-4.27,651,-28,-4.12,646,672
كمند,صندوق س. با درآمد ثابت كمند,6583,259778792,2622810501537,10091,10096,10097,6,0.06,10096,5,0.05,10096,10097
خپارس,پارس‌ خودرو,6569,384955722,436998316063,1085,1100,1139,54,4.98,1135,50,4.61,1090,1139
فولاد,فولاد مباركه اصفهان,6366,40848872,423369359080,10490,10490,10300,-190,-1.81,10360,-130,-1.24,10260,10490
فملي,ملي‌ صنايع‌ مس‌ ايران‌,6218,72248671,503964150690,7020,7020,6970,-50,-0.71,6980,-40,-0.57,6920,7030
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5956,315052464,758056129618,2295,2340,2409,114,4.97,2406,111,4.84,2339,2409
وبصادر,بانك صادرات ايران,5868,199777530,421225141811,2020,2060,2119,99,4.9,2108,88,4.36,2060,2121
شپنا,پالايش نفت اصفهان,5415,68549846,378801744810,5420,5420,5580,160,2.95,5530,110,2.03,5420,5610
شبندر,پالايش نفت بندرعباس,5263,64714969,415717713110,6370,6350,6390,20,0.31,6420,50,0.78,6350,6520
شتران,پالايش نفت تهران,4985,68480119,287311784434,4126,4126,4199,73,1.77,4196,70,1.7,4126,4260
خبهمن,گروه‌بهمن‌,4240,310940585,569378208843,1748,1750,1835,87,4.98,1831,83,4.75,1750,1835
خاورح,ح . ايران خودرو ديزل,4233,341868961,74255474981,217,220,213,-4,-1.84,217,0,0,213,222
كرمان,س. توسعه و عمران استان كرمان,4140,179370479,131775683353,722,730,735,13,1.8,735,13,1.8,726,743
فرابورس,فرابورس ايران,4038,52823554,611718191160,11050,11440,11600,550,4.98,11580,530,4.8,11400,11600
امين يكم,صندوق درآمد ثابت امين يكم فردا,3882,100076853,1001200121095,10001,10005,10006,5,0.05,10004,3,0.03,10000,10008
كيان,صندوق س. با درآمد ثابت كيان,3755,29055339,966983005417,33262,33281,33282,20,0.06,33281,19,0.06,33280,33283
خنصير,مهندسي‌نصيرماشين‌,3613,21307176,321458731730,14500,14990,15000,500,3.45,15090,590,4.07,14080,15220
بركت,گروه دارويي بركت,3607,10536485,153104677300,14480,14480,14450,-30,-0.21,14530,50,0.35,14350,14830
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3291,82265520,152963403451,1793,1840,1876,83,4.63,1859,66,3.68,1807,1882
وپست,پست بانك ايران,3278,79095460,314109333702,3809,3999,3950,141,3.7,3971,162,4.25,3870,3999
نوري,پتروشيمي نوري,3222,1821717,155346532900,85580,84900,85140,-440,-0.51,85270,-310,-0.36,84840,87000
ونوين,بانك‌اقتصادنوين‌,3174,136992564,538772607764,3750,3897,3937,187,4.99,3933,183,4.88,3806,3937
خاور,ايران خودرو ديزل,3128,105366342,134502939392,1269,1292,1270,1,0.08,1277,8,0.63,1255,1300
توسن,توسعه سامانه ي نرم افزاري نگين,2975,2654916,70757718600,26450,26650,26400,-50,-0.19,26650,200,0.76,26200,27000
شاروم,پتروشيمي اروميه,2958,4884505,61312360460,12120,12280,12720,600,4.95,12550,430,3.55,12120,12720
