 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/25,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
دارا يكم,صندوق واسطه گري مالي يكم-سهام,25804,23744287,2740816005220,109890,112800,116770,6880,6.26,115430,5540,5.04,112150,117760
شستا,سرمايه گذاري تامين اجتماعي,15681,771507064,704556133368,884,887,928,44,4.98,913,29,3.28,887,928
پالايش,صندوق پالايشي يكم-سهام,15217,19403819,1362394265920,69230,69500,70170,940,1.36,70210,980,1.42,69420,70970
شتران,پالايش نفت تهران,8071,140094885,704933838960,5050,4950,5010,-40,-0.79,5030,-20,-0.4,4920,5120
كمند,صندوق س. با درآمد ثابت كمند,8035,318491780,3203622971674,10052,10056,10059,7,0.07,10059,7,0.07,10056,10059
خودرو,ايران‌ خودرو,7545,479191031,1094677691787,2178,2269,2286,108,4.96,2284,106,4.87,2268,2286
فزر,پويا زركان آق دره,5847,6076240,164916416800,27800,27200,27000,-800,-2.88,27150,-650,-2.34,26800,27950
تجلي,تجلي توسعه معادن و فلزات,5442,202499723,313523676611,1545,1520,1560,15,0.97,1548,3,0.19,1500,1589
كدما,معدني‌ دماوند,5393,4852248,296493049040,63780,62630,60600,-3180,-4.99,61100,-2680,-4.2,60600,63310
سپيد,سپيد ماكيان,5162,21947436,398236519760,18950,18900,18410,-540,-2.85,18150,-800,-4.22,18010,18900
شبندر,پالايش نفت بندرعباس,5082,53757025,395345288940,7360,7240,7340,-20,-0.27,7350,-10,-0.14,7220,7460
شپنا,پالايش نفت اصفهان,5014,50689663,326778050210,6430,6360,6450,20,0.31,6450,20,0.31,6270,6530
فملي,ملي‌ صنايع‌ مس‌ ايران‌,4882,100396813,708602851080,6970,6950,7120,150,2.15,7060,90,1.29,6920,7130
بشهاب,لامپ‌  پارس‌ شهاب‌,4701,3355169,303343138760,93860,89170,92530,-1330,-1.42,90410,-3450,-3.68,89170,93370
فولاد,فولاد مباركه اصفهان,4262,31151156,332493105390,10520,10520,10700,180,1.71,10670,150,1.43,10500,10750
انرژي,بورس انرژي ايران,3917,5559775,294874906960,50650,51050,53180,2530,5,53040,2390,4.72,50210,53180
سدبير,س. تدبيرگران فارس وخوزستان,3790,11861332,346833166550,30500,29000,29550,-950,-3.11,29250,-1250,-4.1,29000,30800
خساپا,سايپا,3708,238624446,414967911594,1657,1739,1739,82,4.95,1739,82,4.95,1739,1739
كيان,صندوق س. با درآمد ثابت كيان,3652,49247475,1659253266362,33667,33691,33695,28,0.08,33692,25,0.07,33690,33699
وخارزم,سرمايه گذاري خوارزمي,3642,74464143,311498580021,4004,4048,4204,200,5,4183,179,4.47,4048,4204
كرمان,س. توسعه و عمران استان كرمان,3393,159953047,116809856505,728,725,731,3,0.41,730,2,0.27,725,740
ضخود2019,اختيارخ خودرو-2500-1401/02/07,3344,155050,13574436000,67,77,93,26,38.81,88,21,31.34,77,101
امين يكم,صندوق درآمد ثابت امين يكم فردا,3225,114053346,1154627008125,10092,10119,10135,43,0.43,10124,32,0.32,10105,10135
پارند,صندوق س. پارند پايدار سپهر,3143,121233673,1219350529777,10050,10058,10058,8,0.08,10058,8,0.08,10057,10059
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3123,58489570,2502156071000,42738,42778,42780,42,0.1,42780,42,0.1,42778,42781
كارا,صندوق س. كارا -د,2995,172123106,1885080840216,10945,10953,10952,7,0.06,10952,7,0.06,10951,10953
خپارس,پارس‌ خودرو,2936,224732928,243466509008,1033,1070,1084,51,4.94,1083,50,4.84,1070,1084
توسن,توسعه سامانه ي نرم افزاري نگين,2886,5923416,129094606600,21000,20800,22050,1050,5,21800,800,3.81,20800,22050
فرابورس,فرابورس ايران,2850,20154259,226538096340,10730,10820,11260,530,4.94,11240,510,4.75,10820,11260
فجهان,مجتمع جهان فولاد سيرجان,2762,8830260,48107733940,5260,5260,5500,240,4.56,5360,100,1.9,5260,5510
فردا2,صندوق س آواي فرداي زاگرس-ثابت,2724,272400000,272400000,12606,1,1,-12605,-99.99,1,-12605,-99.99,1,1
خزر,فنرسازي‌زر,2631,16700845,158877516770,9160,9610,9590,430,4.69,9510,350,3.82,9160,9610
خبهمن,گروه‌بهمن‌,2522,194605032,354320314840,1737,1781,1823,86,4.95,1821,84,4.84,1781,1823
افران,صندوق س افرا نماد پايدار-ثابت,2421,66707675,1051657853340,15756,15764,15765,9,0.06,15765,9,0.06,15764,15767
خنصير,مهندسي‌نصيرماشين‌,2398,10220085,153281837140,15140,15350,14850,-290,-1.92,15000,-140,-0.92,14390,15800
بهير,س. توسعه تجارت هيرمند,2349,3007500,12234510000,3950,4068,4068,118,2.99,4068,118,2.99,4068,4068
غدام,خوراك‌  دام‌ پارس‌,2338,5027098,175602618110,33770,35450,35200,1430,4.23,34930,1160,3.44,32090,35450
فردا,صندوق س آواي فرداي زاگرس-ثابت,2268,137071550,1729007995816,12606,12615,12614,8,0.06,12614,8,0.06,12613,12633
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,2152,53462032,112265307943,2084,2070,2100,16,0.77,2100,16,0.77,2070,2139
وهامونح,ح . سرمايه گذاري هامون صبا,2118,21177795,10914054498,504,501,521,17,3.37,515,11,2.18,501,525
بركت,گروه دارويي بركت,2030,5716891,95097561300,16220,16410,16610,390,2.4,16630,410,2.53,16400,16910
دماوند,توليد نيروي برق دماوند,2012,11321133,194519950640,16640,17000,17470,830,4.99,17180,540,3.25,15820,17470
غنوش,نوش‌ مازندران‌,1951,10820609,75345870600,7060,6990,6910,-150,-2.12,6960,-100,-1.42,6840,7140
ومعادن,توسعه‌معادن‌وفلزات‌,1936,32128277,389178076250,12180,12010,12210,30,0.25,12110,-70,-0.57,11960,12210
ذوب,ذوب آهن اصفهان,1933,36185158,88613562638,2400,2410,2473,73,3.04,2449,49,2.04,2400,2492
فسبزوار,پارس فولاد سبزوار,1929,1477620,43035522030,28990,29400,29190,200,0.69,29110,120,0.41,28950,29540
نوري,پتروشيمي نوري,1912,1060484,100803854030,93080,94700,95340,2260,2.43,95050,1970,2.12,94000,95740
بالاس,مهندسي ساختمان تاسيسات راه آهن,1906,4097371,136000914550,33800,32150,32350,-1450,-4.29,33200,-600,-1.78,32150,35000
شلرد,كود شيميايي اوره لردگان,1906,12950061,144620394520,11320,11120,11270,-50,-0.44,11170,-150,-1.33,10990,11470
وهامون,سرمايه گذاري هامون صبا,1902,10236620,21904605247,2053,2050,2154,101,4.92,2140,87,4.24,2050,2155
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,1873,108062591,269291976772,2374,2492,2492,118,4.97,2492,118,4.97,2492,2492
شپديس,پتروشيمي پرديس,1836,930996,144544101210,159130,157840,154000,-5130,-3.22,155260,-3870,-2.43,154000,157860
ضخود2018,اختيارخ خودرو-2000-1401/02/07,1809,61942,22336580000,284,325,388,104,36.62,361,77,27.11,315,390
سمگا,گروه سرمايه گذاري ميراث فرهنگي,1765,14848107,132069952110,8560,8890,8980,420,4.91,8890,330,3.86,8540,8980
ثبات,صندوق س. ثبات ويستا -د,1731,81792407,911242959191,11134,11140,11141,7,0.06,11141,7,0.06,11140,11142
هماي,صندوق س هماي آگاه-ثابت,1714,41806231,418638495057,10009,10013,10014,5,0.05,10014,5,0.05,10011,10014
حسير,ريل سير كوثر,1703,4895807,96104949260,19400,20000,18840,-560,-2.89,19630,230,1.19,18700,20370
ثاميد,توسعه و عمران اميد,1687,20493507,28689668885,1413,1420,1402,-11,-0.78,1400,-13,-0.92,1382,1430
خاورح,ح . ايران خودرو ديزل,1670,149762788,28155404144,183,188,188,5,2.73,188,5,2.73,188,188
بنو,بيمه تجارت نو,1667,15368002,72321997770,4700,4470,4920,220,4.68,4710,10,0.21,4470,4930
خصدرا,صنعتي‌ دريايي‌ ايران‌,1662,73835653,121063370493,1593,1640,1640,47,2.95,1640,47,2.95,1601,1640
آريا,پليمر آريا ساسول,1628,1244361,94422564850,75650,75350,75850,200,0.26,75850,200,0.26,75300,76100
قچار,فراوردههاي غذايي وقند چهارمحال,1589,20931072,256954054590,12390,12020,12720,330,2.66,12280,-110,-0.89,11950,12900
وسديد,گروه ‌صنعتي‌سديد,1575,28703345,22645729340,807,788,783,-24,-2.97,789,-18,-2.23,783,809
جوين,كشت و صنعت جوين,1549,60734619,243216680628,3899,3999,4015,116,2.98,4005,106,2.72,3900,4015
ثبهساز,بهساز كاشانه تهران,1548,14859603,19956528738,1323,1325,1341,18,1.36,1343,20,1.51,1311,1364
كاما,باما,1547,11961689,70750018540,5910,5830,5860,-50,-0.85,5910,0,0,5830,6040
كگل,معدني و صنعتي گل گهر,1547,14819542,192340713550,12920,12930,12980,60,0.46,12980,60,0.46,12800,13000
صبا,گروه مالي صبا تامين,1540,10877194,60019921290,5370,5420,5540,170,3.17,5460,90,1.68,5380,5560
ضخود2020,اختيارخ خودرو-3000-1401/02/07,1520,82842,1184710000,13,13,14,1,7.69,14,1,7.69,12,18
ثقزوي,شركت عمران و سازندگي قزوين,1505,7058530,60740759790,8380,8630,8630,250,2.98,8610,230,2.74,8410,8630
غزر,صنعتي زر ماكارون,1499,3959370,28866086090,7240,7300,7350,110,1.52,7290,50,0.69,7200,7400
پتاير,ايران‌ تاير,1480,38069432,62042401596,1620,1696,1575,-45,-2.78,1630,10,0.62,1568,1696
كارين2,صندوق س نگين سامان-ثابت,1460,146000000,146000000,10138,1,1,-10137,-99.99,1,-10137,-99.99,1,1
آبادا,توليد نيروي برق آبادان,1459,4724271,44144163120,8940,8740,9380,440,4.92,9340,400,4.47,8740,9380
كارين,صندوق س نگين سامان-ثابت,1418,58230656,582816125043,10138,10008,10012,-126,-1.24,10009,-129,-1.27,10005,10012
كزغالح,ح.زغال سنگ پروده طبس,1415,1182377,13694083000,11560,11460,11570,10,0.09,11580,20,0.17,11420,11700
فلوله,لوله‌وماشين‌سازي‌ايران‌,1414,49760335,60772448579,1217,1200,1247,30,2.47,1221,4,0.33,1164,1259
فنفت,صنايع تجهيزات نفت,1403,3443224,113088472350,32450,31500,33350,900,2.77,32850,400,1.23,31500,33400
كچاد,معدني‌وصنعتي‌چادرملو,1367,3745249,59633122640,16090,16200,15880,-210,-1.31,16010,-80,-0.5,15790,16200
آ س پ,آ.س.پ,1356,23456652,128802196116,5566,5844,5288,-278,-4.99,5491,-75,-1.35,5288,5844
غگل,گلوكوزان‌,1349,21163657,67540067758,3146,3140,3215,69,2.19,3191,45,1.43,3102,3250
خبازرس,بازرسي مهندسي و صنعتي ايران,1344,3696960,57099408280,16020,15220,15500,-520,-3.25,15440,-580,-3.62,15220,16190
مبين,مبين انرژي خليج فارس,1318,23484947,495764082100,20110,21110,21110,1000,4.97,21110,1000,4.97,21010,21110
كمرجان,بازرگاني و توليدي مرجان كار,1311,11537386,55546864116,4753,4960,4750,-3,-0.06,4815,62,1.3,4600,4990
كيمياتك,آريان كيميا تك,1303,569936,13171649950,23240,22910,23350,110,0.47,23120,-120,-0.52,22910,23350
وسپهر,سرمايه گذاري مالي سپهرصادرات,1303,2702902,19305012390,7080,7090,7120,40,0.56,7090,10,0.14,7080,7290
گدنا,تهيه توزيع غذاي دنا آفرين فدك,1303,1121068,14423829360,12950,12780,12560,-390,-3.01,12870,-80,-0.62,12520,13250
مديريت,س. و خدمات مديريت صند. ب كشوري,1300,3451291,19104763330,5450,5520,5520,70,1.28,5540,90,1.65,5460,5590
امين,تامين سرمايه امين,1298,603442,6611476180,10680,10940,11150,470,4.4,10720,40,0.37,10940,11150
سپيدار,سپيدار سيستم آسيا,1287,5481271,110766775950,20100,20100,20550,450,2.24,20200,100,0.5,20000,20600
قثابت,قند ثابت‌ خراسان‌,1274,30067814,52414008715,1800,1780,1710,-90,-5,1743,-57,-3.17,1710,1820
حفارس,حمل و نقل بين المللي خليج فارس,1268,10492648,89484703620,8200,8570,8590,390,4.76,8530,330,4.02,8250,8610
بپيوند,برق و انرژي پيوندگستر پارس,1266,2292646,18895736670,8300,8080,8290,-10,-0.12,8240,-60,-0.72,8050,8390
خلنت,لنت‌ ترمزايران‌,1259,1199108,49100775480,40560,40570,41120,560,1.38,40950,390,0.96,39550,42100
چخزر,صنايع چوب خزر كاسپين,1250,688693,18285868750,26800,26450,26300,-500,-1.87,26550,-250,-0.93,26200,27350
قشير,قند شيروان قوچان و بجنورد,1248,12539619,69013410960,5760,5790,5500,-260,-4.51,5500,-260,-4.51,5480,5790
حكشتي,كشتيراني جمهوري اسلامي ايران,1235,16966278,230904871180,12970,13590,13610,640,4.93,13610,640,4.93,13590,13610
غكورش,صنعت غذايي كورش,1214,1381134,47947223790,34180,34030,34890,710,2.08,34720,540,1.58,33800,34920
فاذر,صنايع‌ آذرآب‌,1205,47014465,35131044329,730,736,753,23,3.15,747,17,2.33,734,760
كالا,بورس كالاي ايران,1204,7771244,151965240460,18660,19200,19590,930,4.98,19550,890,4.77,19010,19590
غگيلا,شيرپاستوريزه پگاه گيلان,1197,3512575,48379596250,13590,13830,13580,-10,-0.07,13770,180,1.32,13570,14080
غبشهر,صنعتي‌ بهشهر,1195,28627041,91294358270,3332,3266,3166,-166,-4.98,3189,-143,-4.29,3166,3360
لكما,كارخانجات‌مخابراتي‌ايران‌,1180,39841911,32454779210,834,812,815,-19,-2.28,815,-19,-2.28,809,846
ختوقا,قطعات‌ اتومبيل‌ ايران‌,1161,49976949,121349131191,2315,2374,2430,115,4.97,2428,113,4.88,2374,2430
ثفارس,عمران‌وتوسعه‌فارس‌,1153,8326809,47188828950,5660,5790,5600,-60,-1.06,5670,10,0.18,5530,5880
ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,1151,5456110,18680756454,3395,3400,3435,40,1.18,3424,29,0.85,3370,3450
