 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1401/1/6,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
خودرو,ايران‌ خودرو,26091,1216916657,3010253476291,2398,2517,2419,21,0.88,2474,76,3.17,2400,2517
پالايش,صندوق پالايشي يكم-سهام,23634,40560650,2957345666590,71640,72650,72920,1280,1.79,72910,1270,1.77,72100,73500
خساپا,سايپا,23494,1829062034,3499723882665,1825,1916,1888,63,3.45,1913,88,4.82,1881,1916
دارا يكم,صندوق واسطه گري مالي يكم-سهام,22670,24196107,2832744988460,120720,121490,116050,-4670,-3.87,117070,-3650,-3.02,115660,121490
شستا,سرمايه گذاري تامين اجتماعي,19105,835505813,789852542689,950,962,940,-10,-1.05,945,-5,-0.53,934,966
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,12249,851626698,2337331680985,2616,2746,2740,124,4.74,2745,129,4.93,2700,2746
فملي,ملي‌ صنايع‌ مس‌ ايران‌,10743,110666480,834248624390,7240,7360,7600,360,4.97,7540,300,4.14,7320,7600
خپارس,پارس‌ خودرو,9785,503726606,571645082942,1136,1170,1118,-18,-1.58,1135,-1,-0.09,1101,1170
شپنا,پالايش نفت اصفهان,9345,197647511,1388531549160,6710,6930,7040,330,4.92,7030,320,4.77,6850,7040
فولاد,فولاد مباركه اصفهان,8955,125349807,1433610233860,10940,11400,11480,540,4.94,11440,500,4.57,11100,11480
شبندر,پالايش نفت بندرعباس,8885,137056456,1084157843900,7550,7890,7920,370,4.9,7910,360,4.77,7800,7920
شتران,پالايش نفت تهران,8285,220811427,1197799211390,5180,5400,5430,250,4.83,5420,240,4.63,5350,5430
وبملت,بانك ملت,7725,220229965,837838227592,3703,3860,3745,42,1.13,3804,101,2.73,3720,3870
كمند,صندوق س. با درآمد ثابت كمند,6286,230622686,2332154531469,10094,10112,10113,19,0.19,10112,18,0.18,10112,10113
آرام,صندوق س شاخصي آرام مفيد,5822,20773237,212075110170,10170,10280,10260,90,0.88,10210,40,0.39,10120,10300
فرابورس,فرابورس ايران,5488,25433660,297050382050,11760,12000,11400,-360,-3.06,11680,-80,-0.68,11300,12300
وتجارت,بانك تجارت,5210,192929827,372325408204,1926,1960,1912,-14,-0.73,1930,4,0.21,1903,1974
خبهمن,گروه‌بهمن‌,4928,222381305,421468206244,1912,1918,1889,-23,-1.2,1895,-17,-0.89,1860,1970
وخارزم,سرمايه گذاري خوارزمي,4694,59725525,257767099638,4388,4476,4270,-118,-2.69,4316,-72,-1.64,4256,4510
تجلي,تجلي توسعه معادن و فلزات,4547,153193533,236719980677,1535,1549,1550,15,0.98,1545,10,0.65,1520,1590
كيان,صندوق س. با درآمد ثابت كيان,4360,29178388,987988078882,33806,33863,33861,55,0.16,33860,54,0.16,33810,33865
زنجان,صنايع كشاورزي وكود زنجان,4180,60309935,211250934172,3510,3335,3580,70,1.99,3503,-7,-0.2,3335,3685
بشهاب,لامپ‌  پارس‌ شهاب‌,4165,2225432,200720611860,94110,96990,89410,-4700,-4.99,90190,-3920,-4.17,89410,96990
وبصادر,بانك صادرات ايران,4120,125003434,243730790780,1954,1979,1930,-24,-1.23,1950,-4,-0.2,1921,2000
فزر,پويا زركان آق دره,4074,4276674,116531067550,27250,27250,27000,-250,-0.92,27250,0,0,26850,27750
حكشتي,كشتيراني جمهوري اسلامي ايران,4046,34788024,515803891680,14290,14400,14700,410,2.87,14830,540,3.78,14300,15000
ذوب,ذوب آهن اصفهان,4032,103904504,271613738420,2521,2571,2647,126,5,2614,93,3.69,2510,2647
