 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/1,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فزر,پويا زركان آق دره,81910,46233856,1168379237600,24500,24100,25700,1200,4.9,25250,750,3.06,23550,25700
پالايش,صندوق پالايشي يكم-سهام,20236,17317788,1177011279220,68080,67760,68390,310,0.46,67970,-110,-0.16,67510,68500
دارا يكم,صندوق واسطه گري مالي يكم-سهام,17440,16266812,1830620127810,111720,111890,113590,1870,1.67,112540,820,0.73,111110,113600
تجلي,تجلي توسعه معادن و فلزات,12303,352971089,525775026179,1480,1470,1510,30,2.03,1490,10,0.68,1413,1529
وبملت,بانك ملت,11378,425569456,1428131435605,3228,3321,3389,161,4.99,3356,128,3.97,3251,3389
كمند,صندوق س. با درآمد ثابت كمند,8549,345251667,3483868532823,10085,10091,10091,6,0.06,10091,6,0.06,10090,10092
خودرو,ايران‌ خودرو,8194,275065485,568639334173,2056,2040,2102,46,2.24,2067,11,0.54,2025,2111
وتجارت,بانك تجارت,6803,228482861,440479214380,1895,1910,1957,62,3.27,1928,33,1.74,1875,1970
خاورح,ح . ايران خودرو ديزل,6743,594315987,129231777651,223,223,221,-2,-0.9,217,-6,-2.69,217,223
فملي,ملي‌ صنايع‌ مس‌ ايران‌,5774,121459905,852831273270,7020,7020,7030,10,0.14,7020,0,0,7010,7030
امين يكم,صندوق درآمد ثابت امين يكم فردا,5305,126931161,1269484590197,10150,10001,10003,-147,-1.45,10001,-149,-1.47,10000,10003
شتران,پالايش نفت تهران,5202,77409663,319395680879,4218,4199,4132,-86,-2.04,4126,-92,-2.18,4071,4218
بركت,گروه دارويي بركت,5080,16819400,243487490450,15140,14700,14550,-590,-3.9,14480,-660,-4.36,14390,14890
شبندر,پالايش نفت بندرعباس,4920,62799004,400047182570,6510,6480,6370,-140,-2.15,6370,-140,-2.15,6310,6480
شپنا,پالايش نفت اصفهان,4803,44361022,240249998820,5520,5460,5420,-100,-1.81,5420,-100,-1.81,5390,5490
فرابورس,فرابورس ايران,4697,26841928,296592495850,10870,10890,11340,470,4.32,11050,180,1.66,10670,11400
خساپا,سايپا,4550,161785559,266359325501,1640,1637,1670,30,1.83,1646,6,0.37,1620,1672
فولاد,فولاد مباركه اصفهان,4368,68904742,722905289170,10490,10500,10500,10,0.1,10490,0,0,10470,10510
سدبير,س. تدبيرگران فارس وخوزستان,4325,10985795,272028844250,25650,24400,25100,-550,-2.14,24750,-900,-3.51,24400,25500
انرژي,بورس انرژي ايران,4193,4472775,245043336420,54850,54800,55740,890,1.62,54790,-60,-0.11,53890,56550
نوري,پتروشيمي نوري,3833,2320374,198568551370,88160,86200,85170,-2990,-3.39,85580,-2580,-2.93,84870,87530
فولاي,صنايع فولاد آلياژي يزد,3644,51733666,397011846900,7530,7900,7750,220,2.92,7670,140,1.86,7210,7900
كرمان,س. توسعه و عمران استان كرمان,3607,139220217,100549067441,733,728,725,-8,-1.09,722,-11,-1.5,714,737
كالا,بورس كالاي ايران,3576,11316699,214412436560,18850,18860,19230,380,2.02,18950,100,0.53,18510,19440
